Time of transition,PID,Old State,New State
0,1000,NEW,READY
0,1001,NEW,READY
0,1002,NEW,READY
0,1003,NEW,READY
0,1000,READY,RUNNING
1,1000,RUNNING,TERMINATED
1,1004,NEW,READY
1,1001,READY,RUNNING
2,1001,RUNNING,TERMINATED
2,1005,NEW,READY
2,1002,READY,RUNNING
3,1002,RUNNING,TERMINATED
3,1006,NEW,READY
3,1003,READY,RUNNING
4,1003,RUNNING,TERMINATED
4,1004,READY,RUNNING
5,1004,RUNNING,TERMINATED
5,1007,NEW,READY
5,1005,READY,RUNNING
6,1005,RUNNING,TERMINATED
6,1008,NEW,READY
6,1006,READY,RUNNING
7,1006,RUNNING,TERMINATED
7,1009,NEW,READY
7,1007,READY,RUNNING
8,1007,RUNNING,TERMINATED
8,1008,READY,RUNNING
9,1008,RUNNING,TERMINATED
9,1009,READY,RUNNING
10,1009,RUNNING,TERMINATED
