Time of transition,PID,Old State,New State
0,1001,NEW,READY
0,1001,READY,RUNNING
5,1001,RUNNING,WAITING
15,1001,WAITING,READY
15,1001,READY,RUNNING
20,1001,RUNNING,WAITING
30,1001,WAITING,READY
30,1001,READY,RUNNING
35,1001,RUNNING,WAITING
45,1001,WAITING,READY
45,1001,READY,RUNNING
50,1001,RUNNING,WAITING
60,1001,WAITING,READY
60,1001,READY,RUNNING
65,1001,RUNNING,WAITING
75,1001,WAITING,READY
75,1001,READY,RUNNING
80,1001,RUNNING,WAITING
90,1001,WAITING,READY
90,1001,READY,RUNNING
95,1001,RUNNING,WAITING
105,1001,WAITING,READY
105,1001,READY,RUNNING
110,1001,RUNNING,WAITING
120,1001,WAITING,READY
120,1001,READY,RUNNING
125,1001,RUNNING,WAITING
135,1001,WAITING,READY
135,1001,READY,RUNNING
140,1001,RUNNING,WAITING
150,1001,WAITING,READY
150,1001,READY,RUNNING
155,1001,RUNNING,WAITING
165,1001,WAITING,READY
165,1001,READY,RUNNING
170,1001,RUNNING,WAITING
180,1001,WAITING,READY
180,1001,READY,RUNNING
185,1001,RUNNING,WAITING
195,1001,WAITING,READY
195,1001,READY,RUNNING
200,1001,RUNNING,WAITING
210,1001,WAITING,READY
210,1001,READY,RUNNING
215,1001,RUNNING,WAITING
225,1001,WAITING,READY
225,1001,READY,RUNNING
230,1001,RUNNING,WAITING
240,1001,WAITING,READY
240,1001,READY,RUNNING
245,1001,RUNNING,WAITING
255,1001,WAITING,READY
255,1001,READY,RUNNING
260,1001,RUNNING,WAITING
270,1001,WAITING,READY
270,1001,READY,RUNNING
275,1001,RUNNING,WAITING
285,1001,WAITING,READY
285,1001,READY,RUNNING
290,1001,RUNNING,WAITING
300,1001,WAITING,READY
300,1001,READY,RUNNING
305,1001,RUNNING,WAITING
315,1001,WAITING,READY
315,1001,READY,RUNNING
320,1001,RUNNING,WAITING
330,1001,WAITING,READY
330,1001,READY,RUNNING
335,1001,RUNNING,WAITING
345,1001,WAITING,READY
345,1001,READY,RUNNING
350,1001,RUNNING,WAITING
360,1001,WAITING,READY
360,1001,READY,RUNNING
365,1001,RUNNING,WAITING
375,1001,WAITING,READY
375,1001,READY,RUNNING
380,1001,RUNNING,WAITING
390,1001,WAITING,READY
390,1001,READY,RUNNING
395,1001,RUNNING,WAITING
405,1001,WAITING,READY
405,1001,READY,RUNNING
410,1001,RUNNING,WAITING
420,1001,WAITING,READY
420,1001,READY,RUNNING
425,1001,RUNNING,WAITING
435,1001,WAITING,READY
435,1001,READY,RUNNING
440,1001,RUNNING,WAITING
450,1001,WAITING,READY
450,1001,READY,RUNNING
455,1001,RUNNING,WAITING
465,1001,WAITING,READY
465,1001,READY,RUNNING
470,1001,RUNNING,WAITING
480,1001,WAITING,READY
480,1001,READY,RUNNING
485,1001,RUNNING,WAITING
495,1001,WAITING,READY
495,1001,READY,RUNNING
500,1001,RUNNING,WAITING
510,1001,WAITING,READY
510,1001,READY,RUNNING
515,1001,RUNNING,WAITING
525,1001,WAITING,READY
525,1001,READY,RUNNING
530,1001,RUNNING,WAITING
540,1001,WAITING,READY
540,1001,READY,RUNNING
545,1001,RUNNING,WAITING
555,1001,WAITING,READY
555,1001,READY,RUNNING
560,1001,RUNNING,WAITING
570,1001,WAITING,READY
570,1001,READY,RUNNING
575,1001,RUNNING,WAITING
585,1001,WAITING,READY
585,1001,READY,RUNNING
590,1001,RUNNING,WAITING
600,1001,WAITING,READY
600,1001,READY,RUNNING
605,1001,RUNNING,WAITING
615,1001,WAITING,READY
615,1001,READY,RUNNING
620,1001,RUNNING,WAITING
630,1001,WAITING,READY
630,1001,READY,RUNNING
635,1001,RUNNING,WAITING
645,1001,WAITING,READY
645,1001,READY,RUNNING
650,1001,RUNNING,WAITING
660,1001,WAITING,READY
660,1001,READY,RUNNING
665,1001,RUNNING,WAITING
675,1001,WAITING,READY
675,1001,READY,RUNNING
680,1001,RUNNING,WAITING
690,1001,WAITING,READY
690,1001,READY,RUNNING
695,1001,RUNNING,WAITING
705,1001,WAITING,READY
705,1001,READY,RUNNING
710,1001,RUNNING,WAITING
720,1001,WAITING,READY
720,1001,READY,RUNNING
725,1001,RUNNING,WAITING
735,1001,WAITING,READY
735,1001,READY,RUNNING
740,1001,RUNNING,TERMINATED
740,1002,NEW,READY
740,1002,READY,RUNNING
745,1002,RUNNING,WAITING
755,1002,WAITING,READY
755,1002,READY,RUNNING
760,1002,RUNNING,WAITING
770,1002,WAITING,READY
770,1002,READY,RUNNING
775,1002,RUNNING,WAITING
785,1002,WAITING,READY
785,1002,READY,RUNNING
790,1002,RUNNING,WAITING
800,1002,WAITING,READY
800,1002,READY,RUNNING
805,1002,RUNNING,WAITING
815,1002,WAITING,READY
815,1002,READY,RUNNING
820,1002,RUNNING,WAITING
830,1002,WAITING,READY
830,1002,READY,RUNNING
835,1002,RUNNING,WAITING
845,1002,WAITING,READY
845,1002,READY,RUNNING
850,1002,RUNNING,WAITING
860,1002,WAITING,READY
860,1002,READY,RUNNING
865,1002,RUNNING,WAITING
875,1002,WAITING,READY
875,1002,READY,RUNNING
880,1002,RUNNING,WAITING
890,1002,WAITING,READY
890,1002,READY,RUNNING
895,1002,RUNNING,WAITING
905,1002,WAITING,READY
905,1002,READY,RUNNING
910,1002,RUNNING,WAITING
920,1002,WAITING,READY
920,1002,READY,RUNNING
925,1002,RUNNING,WAITING
935,1002,WAITING,READY
935,1002,READY,RUNNING
940,1002,RUNNING,WAITING
950,1002,WAITING,READY
950,1002,READY,RUNNING
955,1002,RUNNING,WAITING
965,1002,WAITING,READY
965,1002,READY,RUNNING
970,1002,RUNNING,WAITING
980,1002,WAITING,READY
980,1002,READY,RUNNING
985,1002,RUNNING,WAITING
995,1002,WAITING,READY
995,1002,READY,RUNNING
1000,1002,RUNNING,WAITING
1010,1002,WAITING,READY
1010,1002,READY,RUNNING
1015,1002,RUNNING,WAITING
1025,1002,WAITING,READY
1025,1002,READY,RUNNING
1030,1002,RUNNING,WAITING
1040,1002,WAITING,READY
1040,1002,READY,RUNNING
1045,1002,RUNNING,WAITING
1055,1002,WAITING,READY
1055,1002,READY,RUNNING
1060,1002,RUNNING,WAITING
1070,1002,WAITING,READY
1070,1002,READY,RUNNING
1075,1002,RUNNING,WAITING
1085,1002,WAITING,READY
1085,1002,READY,RUNNING
1090,1002,RUNNING,WAITING
1100,1002,WAITING,READY
1100,1002,READY,RUNNING
1105,1002,RUNNING,WAITING
1115,1002,WAITING,READY
1115,1002,READY,RUNNING
1120,1002,RUNNING,WAITING
1130,1002,WAITING,READY
1130,1002,READY,RUNNING
1135,1002,RUNNING,WAITING
1145,1002,WAITING,READY
1145,1002,READY,RUNNING
1150,1002,RUNNING,WAITING
1160,1002,WAITING,READY
1160,1002,READY,RUNNING
1165,1002,RUNNING,WAITING
1175,1002,WAITING,READY
1175,1002,READY,RUNNING
1180,1002,RUNNING,WAITING
1190,1002,WAITING,READY
1190,1002,READY,RUNNING
1195,1002,RUNNING,WAITING
1205,1002,WAITING,READY
1205,1002,READY,RUNNING
1210,1002,RUNNING,WAITING
1220,1002,WAITING,READY
1220,1002,READY,RUNNING
1225,1002,RUNNING,WAITING
1235,1002,WAITING,READY
1235,1002,READY,RUNNING
1240,1002,RUNNING,WAITING
1250,1002,WAITING,READY
1250,1002,READY,RUNNING
1255,1002,RUNNING,WAITING
1265,1002,WAITING,READY
1265,1002,READY,RUNNING
1270,1002,RUNNING,WAITING
1280,1002,WAITING,READY
1280,1002,READY,RUNNING
1285,1002,RUNNING,WAITING
1295,1002,WAITING,READY
1295,1002,READY,RUNNING
1300,1002,RUNNING,WAITING
1310,1002,WAITING,READY
1310,1002,READY,RUNNING
