Time, PID, Old State, New State
0, 1001, New, Ready
0, 1001, Ready, Running
1, 1002, New, Ready
2, 1003, New, Ready
3, 1004, New, Ready
10, 1001, Running, Waiting
10, 1002, Ready, Running
35, 1002, Running, Waiting
35, 1003, Ready, Running
43, 1003, Running, Waiting
43, 1004, Ready, Running
52, 1002, Waiting, Ready
53, 1004, Running, Waiting
53, 1002, Ready, Running
78, 1002, Running, Waiting
80, 1004, Waiting, Ready
80, 1004, Ready, Running
90, 1004, Running, Waiting
93, 1003, Waiting, Ready
93, 1003, Ready, Running
95, 1003, Running, Terminated
95, 1002, Waiting, Ready
95, 1002, Ready, Running
100, 1005, New, Ready
100, 1006, New, Ready
100, 1007, New, Ready
117, 1004, Waiting, Ready
120, 1002, Running, Waiting
120, 1005, Ready, Running
137, 1002, Waiting, Ready
144, 1005, Running, Waiting
144, 1006, Ready, Running
186, 1005, Waiting, Ready
200, 1006, Running, Waiting
200, 1007, Ready, Running
241, 1007, Running, Waiting
241, 1004, Ready, Running
251, 1004, Running, Waiting
251, 1002, Ready, Running
270, 1001, Waiting, Ready
275, 1007, Waiting, Ready
276, 1002, Running, Waiting
276, 1005, Ready, Running
277, 1006, Waiting, Ready
278, 1004, Waiting, Ready
293, 1002, Waiting, Ready
300, 1005, Running, Waiting
300, 1001, Ready, Running
310, 1001, Running, Waiting
310, 1007, Ready, Running
342, 1005, Waiting, Ready
351, 1007, Running, Waiting
351, 1006, Ready, Running
385, 1007, Waiting, Ready
395, 1006, Running, Terminated
395, 1004, Ready, Running
405, 1004, Running, Waiting
405, 1002, Ready, Running
430, 1002, Running, Waiting
430, 1005, Ready, Running
432, 1004, Waiting, Ready
447, 1002, Waiting, Ready
454, 1005, Running, Waiting
454, 1007, Ready, Running
472, 1007, Running, Terminated
472, 1004, Ready, Running
482, 1004, Running, Terminated
482, 1002, Ready, Running
496, 1005, Waiting, Ready
507, 1002, Running, Waiting
507, 1005, Ready, Running
524, 1002, Waiting, Ready
531, 1005, Running, Waiting
531, 1002, Ready, Running
556, 1002, Running, Waiting
570, 1001, Waiting, Ready
570, 1001, Ready, Running
573, 1005, Waiting, Ready
573, 1002, Waiting, Ready
580, 1001, Running, Waiting
580, 1005, Ready, Running
584, 1005, Running, Terminated
584, 1002, Ready, Running
609, 1002, Running, Waiting
626, 1002, Waiting, Ready
626, 1002, Ready, Running
651, 1002, Running, Waiting
668, 1002, Waiting, Ready
668, 1002, Ready, Running
693, 1002, Running, Terminated
840, 1001, Waiting, Ready
840, 1001, Ready, Running
850, 1001, Running, Waiting
1000, 1008, New, Ready
1000, 1008, Ready, Running
1010, 1008, Running, Waiting
1030, 1008, Waiting, Ready
1030, 1008, Ready, Running
1040, 1008, Running, Waiting
1060, 1008, Waiting, Ready
1060, 1008, Ready, Running
1070, 1008, Running, Waiting
1090, 1008, Waiting, Ready
1090, 1008, Ready, Running
1100, 1008, Running, Waiting
1110, 1001, Waiting, Ready
1110, 1001, Ready, Running
1120, 1001, Running, Waiting
1120, 1008, Waiting, Ready
1120, 1008, Ready, Running
1130, 1008, Running, Waiting
1150, 1008, Waiting, Ready
1150, 1008, Ready, Running
1160, 1008, Running, Waiting
1180, 1008, Waiting, Ready
1180, 1008, Ready, Running
1190, 1008, Running, Waiting
1210, 1008, Waiting, Ready
1210, 1008, Ready, Running
1220, 1008, Running, Waiting
1240, 1008, Waiting, Ready
1240, 1008, Ready, Running
1250, 1008, Running, Waiting
1270, 1008, Waiting, Ready
1270, 1008, Ready, Running
1280, 1008, Running, Terminated
1380, 1001, Waiting, Ready
1380, 1001, Ready, Running
1390, 1001, Running, Waiting
1650, 1001, Waiting, Ready
1650, 1001, Ready, Running
1660, 1001, Running, Waiting
1920, 1001, Waiting, Ready
1920, 1001, Ready, Running
1930, 1001, Running, Waiting
2190, 1001, Waiting, Ready
2190, 1001, Ready, Running
2200, 1001, Running, Waiting
2460, 1001, Waiting, Ready
2460, 1001, Ready, Running
2470, 1001, Running, Terminated
