Time of transition,PID,Old State,New State
0,1001,NEW,READY
0,1001,READY,RUNNING
5,1001,RUNNING,WAITING
15,1001,WAITING,READY
15,1001,READY,RUNNING
20,1001,RUNNING,WAITING
30,1001,WAITING,READY
30,1001,READY,RUNNING
35,1001,RUNNING,WAITING
45,1001,WAITING,READY
45,1001,READY,RUNNING
50,1001,RUNNING,WAITING
50,1002,NEW,READY
50,1002,READY,RUNNING
58,1002,RUNNING,WAITING
60,1001,WAITING,READY
60,1001,READY,RUNNING
65,1001,RUNNING,WAITING
75,1001,WAITING,READY
75,1001,READY,RUNNING
78,1002,WAITING,READY
80,1001,RUNNING,WAITING
80,1002,READY,RUNNING
88,1002,RUNNING,WAITING
90,1001,WAITING,READY
90,1001,READY,RUNNING
95,1001,RUNNING,WAITING
100,1003,NEW,READY
100,1003,READY,RUNNING
105,1003,RUNNING,WAITING
105,1001,WAITING,READY
105,1001,READY,RUNNING
108,1002,WAITING,READY
110,1001,RUNNING,WAITING
110,1002,READY,RUNNING
115,1003,WAITING,READY
118,1002,RUNNING,WAITING
118,1003,READY,RUNNING
120,1001,WAITING,READY
123,1003,RUNNING,WAITING
123,1001,READY,RUNNING
128,1001,RUNNING,WAITING
133,1003,WAITING,READY
133,1003,READY,RUNNING
138,1003,RUNNING,WAITING
138,1002,WAITING,READY
138,1001,WAITING,READY
138,1002,READY,RUNNING
146,1002,RUNNING,WAITING
146,1001,READY,RUNNING
148,1003,WAITING,READY
150,1004,NEW,READY
151,1001,RUNNING,WAITING
151,1004,READY,RUNNING
161,1004,RUNNING,WAITING
161,1001,WAITING,READY
161,1003,READY,RUNNING
166,1003,RUNNING,WAITING
166,1002,WAITING,READY
166,1002,READY,RUNNING
174,1002,RUNNING,WAITING
174,1001,READY,RUNNING
176,1003,WAITING,READY
179,1001,RUNNING,WAITING
179,1003,READY,RUNNING
184,1003,RUNNING,WAITING
189,1001,WAITING,READY
189,1001,READY,RUNNING
191,1004,WAITING,READY
194,1001,RUNNING,WAITING
194,1002,WAITING,READY
194,1003,WAITING,READY
194,1004,READY,RUNNING
200,1005,NEW,READY
204,1004,RUNNING,WAITING
204,1001,WAITING,READY
204,1005,READY,RUNNING
209,1005,RUNNING,WAITING
209,1003,READY,RUNNING
214,1003,RUNNING,WAITING
214,1002,READY,RUNNING
219,1005,WAITING,READY
222,1002,RUNNING,WAITING
222,1005,READY,RUNNING
224,1003,WAITING,READY
227,1005,RUNNING,WAITING
227,1003,READY,RUNNING
232,1003,RUNNING,WAITING
232,1001,READY,RUNNING
234,1004,WAITING,READY
237,1001,RUNNING,WAITING
237,1005,WAITING,READY
237,1005,READY,RUNNING
242,1005,RUNNING,WAITING
242,1002,WAITING,READY
242,1003,WAITING,READY
242,1004,READY,RUNNING
247,1001,WAITING,READY
252,1004,RUNNING,WAITING
252,1005,WAITING,READY
252,1005,READY,RUNNING
257,1005,RUNNING,WAITING
257,1003,READY,RUNNING
262,1003,RUNNING,WAITING
262,1002,READY,RUNNING
267,1005,WAITING,READY
270,1002,RUNNING,WAITING
270,1005,READY,RUNNING
272,1003,WAITING,READY
275,1005,RUNNING,WAITING
275,1003,READY,RUNNING
280,1003,RUNNING,WAITING
280,1001,READY,RUNNING
282,1004,WAITING,READY
285,1001,RUNNING,WAITING
285,1005,WAITING,READY
285,1005,READY,RUNNING
290,1005,RUNNING,WAITING
290,1002,WAITING,READY
290,1003,WAITING,READY
290,1004,READY,RUNNING
295,1001,WAITING,READY
300,1004,RUNNING,WAITING
300,1005,WAITING,READY
300,1005,READY,RUNNING
305,1005,RUNNING,WAITING
305,1003,READY,RUNNING
310,1003,RUNNING,WAITING
310,1002,READY,RUNNING
315,1005,WAITING,READY
318,1002,RUNNING,WAITING
318,1005,READY,RUNNING
320,1003,WAITING,READY
323,1005,RUNNING,WAITING
323,1003,READY,RUNNING
328,1003,RUNNING,WAITING
328,1001,READY,RUNNING
330,1004,WAITING,READY
333,1001,RUNNING,WAITING
333,1005,WAITING,READY
333,1005,READY,RUNNING
338,1005,RUNNING,WAITING
338,1002,WAITING,READY
338,1003,WAITING,READY
338,1004,READY,RUNNING
343,1001,WAITING,READY
348,1004,RUNNING,WAITING
348,1005,WAITING,READY
348,1005,READY,RUNNING
353,1005,RUNNING,WAITING
353,1003,READY,RUNNING
358,1003,RUNNING,WAITING
358,1002,READY,RUNNING
363,1005,WAITING,READY
366,1002,RUNNING,WAITING
366,1005,READY,RUNNING
368,1003,WAITING,READY
371,1005,RUNNING,WAITING
371,1003,READY,RUNNING
376,1003,RUNNING,WAITING
376,1001,READY,RUNNING
378,1004,WAITING,READY
381,1001,RUNNING,WAITING
381,1005,WAITING,READY
381,1005,READY,RUNNING
386,1005,RUNNING,WAITING
386,1002,WAITING,READY
386,1003,WAITING,READY
386,1004,READY,RUNNING
391,1001,WAITING,READY
396,1004,RUNNING,WAITING
396,1005,WAITING,READY
396,1005,READY,RUNNING
401,1005,RUNNING,WAITING
401,1003,READY,RUNNING
406,1003,RUNNING,WAITING
406,1002,READY,RUNNING
411,1005,WAITING,READY
414,1002,RUNNING,WAITING
414,1005,READY,RUNNING
416,1003,WAITING,READY
419,1005,RUNNING,WAITING
419,1003,READY,RUNNING
424,1003,RUNNING,WAITING
424,1001,READY,RUNNING
426,1004,WAITING,READY
429,1001,RUNNING,WAITING
429,1005,WAITING,READY
429,1005,READY,RUNNING
434,1005,RUNNING,WAITING
434,1002,WAITING,READY
434,1003,WAITING,READY
434,1004,READY,RUNNING
439,1001,WAITING,READY
444,1004,RUNNING,WAITING
444,1005,WAITING,READY
444,1005,READY,RUNNING
449,1005,RUNNING,WAITING
449,1003,READY,RUNNING
454,1003,RUNNING,WAITING
454,1002,READY,RUNNING
459,1005,WAITING,READY
462,1002,RUNNING,WAITING
462,1005,READY,RUNNING
464,1003,WAITING,READY
467,1005,RUNNING,WAITING
467,1003,READY,RUNNING
472,1003,RUNNING,WAITING
472,1001,READY,RUNNING
474,1004,WAITING,READY
477,1001,RUNNING,WAITING
477,1005,WAITING,READY
477,1005,READY,RUNNING
482,1005,RUNNING,WAITING
482,1002,WAITING,READY
482,1003,WAITING,READY
482,1004,READY,RUNNING
487,1001,WAITING,READY
492,1004,RUNNING,WAITING
492,1005,WAITING,READY
492,1005,READY,RUNNING
497,1005,RUNNING,WAITING
497,1003,READY,RUNNING
502,1003,RUNNING,WAITING
502,1002,READY,RUNNING
507,1005,WAITING,READY
510,1002,RUNNING,WAITING
510,1005,READY,RUNNING
512,1003,WAITING,READY
515,1005,RUNNING,WAITING
515,1003,READY,RUNNING
520,1003,RUNNING,WAITING
520,1001,READY,RUNNING
522,1004,WAITING,READY
525,1001,RUNNING,WAITING
525,1005,WAITING,READY
525,1005,READY,RUNNING
530,1005,RUNNING,WAITING
530,1002,WAITING,READY
530,1003,WAITING,READY
530,1004,READY,RUNNING
535,1001,WAITING,READY
540,1004,RUNNING,WAITING
540,1005,WAITING,READY
540,1005,READY,RUNNING
545,1005,RUNNING,WAITING
545,1003,READY,RUNNING
550,1003,RUNNING,WAITING
550,1002,READY,RUNNING
555,1005,WAITING,READY
558,1002,RUNNING,WAITING
558,1005,READY,RUNNING
560,1003,WAITING,READY
563,1005,RUNNING,WAITING
563,1003,READY,RUNNING
568,1003,RUNNING,WAITING
568,1001,READY,RUNNING
570,1004,WAITING,READY
573,1001,RUNNING,WAITING
573,1005,WAITING,READY
573,1005,READY,RUNNING
578,1005,RUNNING,WAITING
578,1002,WAITING,READY
578,1003,WAITING,READY
578,1004,READY,RUNNING
583,1001,WAITING,READY
588,1004,RUNNING,WAITING
588,1005,WAITING,READY
588,1005,READY,RUNNING
593,1005,RUNNING,WAITING
593,1003,READY,RUNNING
